PERMNO,date,TICKER,RET
84398,20181121,SPY,0.003408
84398,20181123,SPY,-0.006679
84398,20181126,SPY,0.016144
84398,20181127,SPY,0.003364
84398,20181128,SPY,0.023025
84398,20181129,SPY,-0.002185
84398,20181130,SPY,0.006095
84398,20181203,SPY,0.013241
84398,20181204,SPY,-0.032402
84398,20181206,SPY,-0.001517
84398,20181207,SPY,-0.023236
84398,20181210,SPY,0.001897
84398,20181211,SPY,0.000227
84398,20181212,SPY,0.005035
84398,20181213,SPY,-0.000339
84398,20181214,SPY,-0.018465
84398,20181217,SPY,-0.019618
84398,20181218,SPY,-0.001096
84398,20181219,SPY,-0.014976
84398,20181220,SPY,-0.016278
84398,20181221,SPY,-0.020369
84398,20181224,SPY,-0.026423
84398,20181226,SPY,0.050525
84398,20181227,SPY,0.007677
84398,20181228,SPY,-0.001290
84398,20181231,SPY,0.008759
84398,20190102,SPY,0.001040
84398,20190103,SPY,-0.023863
84398,20190104,SPY,0.033496
84398,20190107,SPY,0.007885
84398,20190108,SPY,0.009395
84398,20190109,SPY,0.004673
84398,20190110,SPY,0.003528
84398,20190111,SPY,0.000386
84398,20190114,SPY,-0.006101
84398,20190115,SPY,0.011461
84398,20190116,SPY,0.002420
84398,20190117,SPY,0.007587
84398,20190118,SPY,0.013310
84398,20190122,SPY,-0.013510
84398,20190123,SPY,0.002092
84398,20190124,SPY,0.000531
84398,20190125,SPY,0.008461
84398,20190128,SPY,-0.007600
84398,20190129,SPY,-0.001327
84398,20190130,SPY,0.015831
84398,20190131,SPY,0.008782
84398,20190201,SPY,0.000482
84398,20190204,SPY,0.007035
84398,20190205,SPY,0.004192
84398,20190206,SPY,-0.001318
84398,20190207,SPY,-0.009533
84398,20190208,SPY,0.001222
84398,20190211,SPY,0.000555
84398,20190212,SPY,0.012859
84398,20190213,SPY,0.003247
84398,20190214,SPY,-0.002218
84398,20190215,SPY,0.010897
84398,20190219,SPY,0.001731
84398,20190220,SPY,0.002015
84398,20190221,SPY,-0.003556
84398,20190222,SPY,0.006200
84398,20190225,SPY,0.001361
84398,20190226,SPY,-0.000715
84398,20190227,SPY,-0.000430
84398,20190228,SPY,-0.001863
84398,20190301,SPY,0.006244
84398,20190304,SPY,-0.003637
84398,20190305,SPY,-0.001360
84398,20190306,SPY,-0.006057
84398,20190307,SPY,-0.008365
84398,20190308,SPY,-0.002000
84398,20190311,SPY,0.014501
84398,20190312,SPY,0.003771
84398,20190313,SPY,0.006619
84398,20190314,SPY,-0.000640
84398,20190315,SPY,0.004919
84398,20190318,SPY,0.003626
84398,20190319,SPY,0.000248
84398,20190320,SPY,-0.003010
84398,20190321,SPY,0.011295
84398,20190322,SPY,-0.019246
84398,20190325,SPY,-0.000752
84398,20190326,SPY,0.007454
84398,20190327,SPY,-0.005229
84398,20190328,SPY,0.003790
84398,20190329,SPY,0.006306
84398,20190401,SPY,0.011859
84398,20190402,SPY,0.000490
84398,20190403,SPY,0.001574
84398,20190404,SPY,0.002653
84398,20190405,SPY,0.004840
84398,20190408,SPY,0.000762
84398,20190409,SPY,-0.005125
84398,20190410,SPY,0.003411
84398,20190411,SPY,-0.000278
84398,20190412,SPY,0.006766
84398,20190415,SPY,-0.000655
84398,20190416,SPY,0.000655
84398,20190417,SPY,-0.002447
84398,20190418,SPY,0.001969
84398,20190422,SPY,0.000862
84398,20190423,SPY,0.008992
84398,20190424,SPY,-0.002219
84398,20190425,SPY,-0.000616
84398,20190426,SPY,0.004657
84398,20190429,SPY,0.001568
84398,20190430,SPY,0.000510
84398,20190501,SPY,-0.007516
84398,20190502,SPY,-0.002159
84398,20190503,SPY,0.009788
84398,20190506,SPY,-0.004115
84398,20190507,SPY,-0.016700
84398,20190508,SPY,-0.001389
84398,20190509,SPY,-0.003026
84398,20190510,SPY,0.005023
84398,20190513,SPY,-0.025130
84398,20190514,SPY,0.009044
84398,20190515,SPY,0.005857
84398,20190516,SPY,0.009261
84398,20190517,SPY,-0.006465
84398,20190520,SPY,-0.006612
84398,20190521,SPY,0.009016
84398,20190522,SPY,-0.003071
84398,20190523,SPY,-0.012219
84398,20190524,SPY,0.002268
84398,20190528,SPY,-0.009301
84398,20190529,SPY,-0.006711
84398,20190530,SPY,0.002731
84398,20190531,SPY,-0.013475
84398,20190603,SPY,-0.002543
84398,20190604,SPY,0.021707
84398,20190605,SPY,0.008662
84398,20190606,SPY,0.006503
84398,20190607,SPY,0.010007
84398,20190610,SPY,0.004589
84398,20190611,SPY,-0.000242
84398,20190612,SPY,-0.001765
84398,20190613,SPY,0.004126
84398,20190614,SPY,-0.001105
84398,20190617,SPY,0.000380
84398,20190618,SPY,0.010471
84398,20190619,SPY,0.002257
84398,20190620,SPY,0.009554
84398,20190621,SPY,-0.001448
84398,20190624,SPY,-0.001224
84398,20190625,SPY,-0.009808
84398,20190626,SPY,-0.000997
84398,20190627,SPY,0.003546
84398,20190628,SPY,0.005146
84398,20190701,SPY,0.009079
84398,20190702,SPY,0.002604
84398,20190703,SPY,0.007995
84398,20190705,SPY,-0.001138
84398,20190708,SPY,-0.005495
84398,20190709,SPY,0.001247
84398,20190710,SPY,0.004778
84398,20190711,SPY,0.002344
84398,20190712,SPY,0.004477
84398,20190715,SPY,0.000333
84398,20190716,SPY,-0.003458
84398,20190717,SPY,-0.006573
84398,20190718,SPY,0.003661
84398,20190719,SPY,-0.005555
84398,20190722,SPY,0.002456
84398,20190723,SPY,0.007150
84398,20190724,SPY,0.004700
84398,20190725,SPY,-0.004777
84398,20190726,SPY,0.006700
84398,20190729,SPY,-0.001821
84398,20190730,SPY,-0.002455
84398,20190731,SPY,-0.010940
84398,20190801,SPY,-0.008708
84398,20190802,SPY,-0.007530
84398,20190805,SPY,-0.030073
84398,20190806,SPY,0.014023
84398,20190807,SPY,0.000591
84398,20190808,SPY,0.019620
84398,20190809,SPY,-0.006812
84398,20190812,SPY,-0.012173
84398,20190813,SPY,0.015552
84398,20190814,SPY,-0.029568
84398,20190815,SPY,0.002642
84398,20190816,SPY,0.014755
84398,20190819,SPY,0.012048
84398,20190820,SPY,-0.007663
84398,20190821,SPY,0.008135
84398,20190822,SPY,-0.000308
84398,20190823,SPY,-0.025687
84398,20190826,SPY,0.011058
84398,20190827,SPY,-0.003924
84398,20190828,SPY,0.007042
84398,20190829,SPY,0.012773
84398,20190830,SPY,-0.000444
84398,20190903,SPY,-0.005847
84398,20190904,SPY,0.011350
84398,20190905,SPY,0.012855
84398,20190906,SPY,0.000772
84398,20190909,SPY,0.000503
84398,20190910,SPY,-0.000235
84398,20190911,SPY,0.007111
84398,20190912,SPY,0.003464
84398,20190913,SPY,-0.000664
84398,20190916,SPY,-0.003089
84398,20190917,SPY,0.002532
84398,20190918,SPY,0.000598
84398,20190919,SPY,-0.000066
84398,20190920,SPY,-0.004704
84398,20190923,SPY,-0.000235
84398,20190924,SPY,-0.007847
84398,20190925,SPY,0.005915
84398,20190926,SPY,-0.002083
84398,20190927,SPY,-0.005387
84398,20190930,SPY,0.004638
84398,20191001,SPY,-0.011895
84398,20191002,SPY,-0.017665
84398,20191003,SPY,0.008193
84398,20191004,SPY,0.013532
84398,20191007,SPY,-0.004315
84398,20191008,SPY,-0.015525
84398,20191009,SPY,0.009496
84398,20191010,SPY,0.006763
84398,20191011,SPY,0.010367
84398,20191014,SPY,-0.001114
84398,20191015,SPY,0.009900
84398,20191016,SPY,-0.001606
84398,20191017,SPY,0.002949
84398,20191018,SPY,-0.004377
84398,20191021,SPY,0.006779
84398,20191022,SPY,-0.003267
84398,20191023,SPY,0.002910
84398,20191024,SPY,0.001634
84398,20191025,SPY,0.004095
84398,20191028,SPY,0.005637
84398,20191029,SPY,-0.000297
84398,20191030,SPY,0.003067
84398,20191031,SPY,-0.002663
84398,20191101,SPY,0.009264
84398,20191104,SPY,0.004018
84398,20191105,SPY,-0.001106
84398,20191106,SPY,0.000228
84398,20191107,SPY,0.003517
84398,20191108,SPY,0.002466
84398,20191111,SPY,-0.001910
84398,20191112,SPY,0.002108
84398,20191113,SPY,0.000324
84398,20191114,SPY,0.001456
84398,20191115,SPY,0.007236
84398,20191118,SPY,0.000738
84398,20191119,SPY,-0.000288
84398,20191120,SPY,-0.003719
